timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
22996000,0.006692143,-0.0019067081,0.0047893934,0.0009085758,0.0003546509,0.33161405,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
23196000,0.0068969927,-0.001826699,0.002455625,0.0011399372,0.00044544073,0.23161413,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
23396000,0.007148116,-0.0017285319,0.0051881364,0.0013712987,0.0005362306,0.13161415,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
23596000,0.0074455105,-0.0016122069,0.0017159693,0.0016026602,0.0006270206,0.031614132,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
23796000,0.007789178,-0.0014777239,0.0043284963,0.0018340216,0.0007178106,-0.06838588,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
23996000,0.008179119,-0.0013250828,-7.7908844e-05,0.0020653831,0.00080860057,-0.16838588,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
24196000,0.008615334,-0.0011542838,0.0019103107,0.0022967446,0.00089939055,-0.26838586,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
24396000,0.009097822,-0.0009653267,-0.0067099123,0.002528106,0.0009901804,-0.36838576,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
24596000,0.00962658,-0.00075821177,-0.00773614,0.0027594676,0.0010809698,-0.46838567,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
24796000,0.0102014635,-0.0005329974,-0.012604467,0.0029721993,0.0011644234,-0.5683858,-1.835823e-05,-6.198883e-06,-0.5,0.0,0.0,0.0,nan,0.0
24996000,0.010792306,-0.00030150337,-0.011380366,0.0029473861,0.0011548941,-0.66808885,-0.00021386147,-8.273125e-05,-0.5,0.0,0.0,0.0,nan,0.0
25196000,0.011374103,-7.351444e-05,-0.014358699,0.0028813283,0.0011291987,-0.76778364,-0.00043034554,-0.00016760826,-0.5,0.0,0.0,0.0,nan,0.0
25396000,0.011938082,0.00014753302,-0.012038024,0.0027693976,0.0010855516,-0.8674506,-0.000672102,-0.00026226044,-0.5,0.0,0.0,0.0,nan,0.0
25596000,0.012474361,0.00035776413,-0.014962764,0.0026064557,0.0010218999,-0.9670427,-0.00094151497,-0.0003681183,-0.5,0.0,0.0,0.0,nan,0.0
